content,sentiment
Click OPO Yakultollllll you here ooomuunmilloloooooolllllolllppolpllolooolonm Poo dan jjrjrri IMoololp Click download Ki mu n b,POSITIF
🤕,NEGATIF
"Tiba2 terlog out, suda mengikuti saran spt hapus data tp ttp tdk bsa masuk ke akun. Coba buka lwt aplikasi lain spt gojek dll jg tdk bsa, INI GMN WOY???",NEGATIF
Good,POSITIF
Okayyy,POSITIF
Eror,NEGATIF
Setelah update malah gak bisa di pakai gimana solusinya???? HADEH....,POSITIF
Dikit2 pake hp 😒,NEGATIF
"Aplikasi yang sangat berguna apalagi sudah ditambahkan menu pelayanan kesehatan, teledokter dan cari kamar rumah sakit sangat membantu sekali",POSITIF
Bisa buat jalan-jalan,POSITIF
Udah stabil,POSITIF
Top,POSITIF
🌀,NEGATIF
Keren bagus,POSITIF
Lemot,NEGATIF
Jn buDC CT feed😁😁😬😬😬😂😁👦\(-ㅂ-)/ ♥ ♥ ♥(๑・ω-)～♥”～(^з^)-♡(灬♥ω♥灬)👰😏,POSITIF
Ok,POSITIF
"Cukup baik selama ini, karena saya ga pernah bepergian jauh, masih dalam kota aja.",POSITIF
"Banyak bug di patch ini gk kek versi sebelumnya seperti suka keluar sendiri,Lagging brutal,dan visual yg bertambah buruk.Dan banyak yg tidak sesuai dengan power kita seperti matchmaking gk adil, sertifikat kurang jelas,dan harga diamond mahal.Tolong ditambahin lagi eventnya kayak skin gratis dan diamond gratis.Untuk UI nya agak BURIK mohon diperhatikan lagi dan untuk update berikutnya tambahin fitur Makar",NEGATIF
"agak laq di patch yang ini sebelumnya tidak terjadi, laq patah-patah saat awal game tapi saat sedang memasuki mid game mulai kerasa sedikit freeze dan tolong chat di game di sensor soalnya banyak yang rasis dan menghina orangtua. kepada developer yang terhormat saya merasa ada gangguan pada analog yang suka gerak sendiri dan masalah pada sinyal padahal sinyal saya 4g tapi kenapa ping nya 999+",NEGATIF
Sangat membantu saat diminta menujukkan status vaksin,POSITIF
For good,POSITIF
Good,POSITIF
Bikin susah rakyat,NEGATIF
"Dgn Scan Bar Code Aplikasi ini di Mall/Fasos-Fasum, Sy bisa nyaman",POSITIF
"Tank you.. sya kasih bintang .**** .walaupun sya jrang menggunakan aplikasi Peduli Lindungi ini,smga covid-19 hilang dan semua dalam lindungan ALLOH SWT & sehat2 selalu...AMIIIIN",POSITIF
Apk opung,NEGATIF
"didunia aja Pemaksaan Vaksinasi Melanggar HAM, belum lagi akan dipertanggung jawabkan",NEGATIF
Sangat bermanfaat sekali,POSITIF
Top,POSITIF
Excellent,POSITIF
Sangat baik dan membantu trima ksh,POSITIF
Okkkkkkk,POSITIF
Friendly,POSITIF
Akhir akhir ini gak bisa dibuka kenapa ya,POSITIF
bagus,POSITIF
Satu ajah,NEGATIF
"Apk maksain, biar d suruh pake aplikasi ini 😅😅😅😅😅😅😅😅😅",NEGATIF
Ok,POSITIF
Ribet,NEGATIF
"Mau upgrade aplikasi nya ko ga bisa yaaa, padahal sdh ada perintah perbaharui",NEGATIF
"Cukup baik,membantu kami dalam beartifitas sehari hari",POSITIF
Baik,POSITIF
👍👍,POSITIF
Bagus 👍,POSITIF
Ok,POSITIF
Good,POSITIF
Pedulilindungi tidak bisa di akses....,NEGATIF
Aku suka aplikasi ini,POSITIF
Mantap gan,POSITIF
"Sangat baik, terima kasih.",POSITIF
Baik,POSITIF
Makasih,POSITIF
Oke,POSITIF
Ok,POSITIF
Bagus,POSITIF
Gk jelas nih,NEGATIF
"Tidak bisa masuk, keluar sendiri",NEGATIF
"Kalau hidup ini bisa di buat ribet kenapa ingin di permudah... Hidupnya mudah, apk nya yg bikin ribet👎👎👎",NEGATIF
Ok,POSITIF
"Tidak semua orang punya HP canggih, kenapa jadi kewajiban punya aplikasi ini😭",NEGATIF
SERTIFIKAT VAKSIN KE2 TIDAK MUNCUL,NEGATIF
"Ini bagaimana sii, setiap buka aplikasi ko langsung keluar lagi, ada masalah apaa yaa, Sebelum di update masih normal-normal saja, tetapi setelah di update malah kacau bgini",NEGATIF
"Kenapa sih aplikasi ini hrs di perbarui terus,hpnya memorinya kecil",POSITIF
"Aplikasi setelah update malah tdk bisa menampilkan sertifikat vaksin. Ini orang2 IT yg buat aplikasi Peduli lindungi terlalu pintar, apa terlalu goblog tolol pintar nya ya",NEGATIF
"Baru 1 menit di download, sudah minta update lagi ke versi terbaru Kacau😆😆😆",NEGATIF
Sangat membantu sekali,POSITIF
"Gegara data saya dipakai orang tiba²... sertifikat vaksin saya hilang semua. Sdh buat laporan dari sebelum Idul Fitri tp hingga sekarang sertifikat vaksin saya tetap belum keluar dan saya akhirnya terkukung tdk bisa kemana-mana gegara data² vaksin saya raib dipakai orang lain! Apa-apa sekarang perlu sertifikat vaksin. Kelihatan antar lembaga...Kemenkes,kominfo, dukcapil tidak sinkron dan menyepelekan.",NEGATIF
Bedelaw,POSITIF
Baik,POSITIF
Aplikasi saya kok diblokir? Jadi ngak bisa dibuka.,NEGATIF
Siip👍,POSITIF
Penting iso lewaattt,POSITIF
Ribet,NEGATIF
"Tidak bisa di buka pedulilindunginya sudah 3hr muncul tulisan. ada keterangan tertulis "" pedulilindungi terus berhenti.."" *Info aplikasi *Tutup aplikasi *Kirim masukan Selalu muncul tulisan itu tiap 15 detik. Itu kenapa ya..??",NEGATIF
Bagus,POSITIF
Membantu,POSITIF
Oke,POSITIF
"Udah aku uninstal apk nya,skrg klw mau scan"" lewat apk lazada atau gojek di situ lebih gampang,dri pd apk peduli lindungi kaga bisa di pake lagi",NEGATIF
Sangat  membantu,POSITIF
Sering keluar aplikasi sendiri...,NEGATIF
Baik,POSITIF
"Selalu minta di perbarui,mohon di benarkan",NEGATIF
Sangat membantu..thanks,POSITIF
Bagus,POSITIF
👍👍,POSITIF
Terima kasih,POSITIF
Saya mau serifikat kedua harus muncul di peduli lindungi saya 😬,NEGATIF
Sangat membatu.. keren..,POSITIF
"Ini lg error ato gmn sih,ga bs buka aj",POSITIF
Buruk,NEGATIF
Knp hbis di perbaharui ga bs di buka🤣,POSITIF
Ok,POSITIF
Sangat membantu sekali,POSITIF
"PLIS PETUGAS VAKSINNYA BISA TELITI GA SI NGINPUT DATA PRIBADI ORANG? NIK saya salah jadi ribet, mau booster gak bisa karena kesalahan NIK, tapi waktunya mepet bangettttt sy mau pergi, transport harus 3x vaksin. Kirim email utk dibenerin juga lama diprosesnya hadehhhh.",NEGATIF
Asik minta update aja,NEGATIF
Baik,POSITIF
dipaksa ikut,NEGATIF
Sangat buruk hanya bisnis am rakyat Semoga cepat modar yg sudah mendzolimin rakyat Aamiiiiin.....,NEGATIF
Aplikasinya terlalu mempersulit masyarakat .terlalu ribet masukin data,NEGATIF
"Saya cek sertifikat vaksin kok kgk bisa ya mohon di perbaiki aplikasi ini kak,",NEGATIF
Mau buka aplikasi ga bisa,NEGATIF
tolong banget versi android di bawah 6.0 bisa download ulang hp om saya soalnya versi android 5.1 hp oppo f1s,NEGATIF
Mantap,POSITIF
baik,POSITIF
Banyak tingkah...,NEGATIF
Kenapa habis update an terakhir aplikasi terus tidak bisa di buka??,NEGATIF
Nganuh,NEGATIF
Mampaat,POSITIF
G jelaaaaas sertifikat saya dari dulu g muncul wioiy di peduli lindungi,NEGATIF
Mantap,POSITIF
Bermanfaat sekali,POSITIF
Aplikasi tidak berguna. sudah vaksin ke 3 tapi sertifikat tidak muncul. Sudah chat tidak ada tindakan diuruspun ribet dan tdk ada jawaban.,NEGATIF
Bikin ribed,NEGATIF
"Vaksin baik, tidak ada pengaruh pada tubuh",POSITIF
😀😀,NEGATIF
aplikasi melanggar hak asasi manusia untuk bebas dari kebijakan aturan covid 19,NEGATIF
"Bermanfaat untuk aktivitas sehari-hari,tks",POSITIF
Mudah digunakan.,POSITIF
"Masih banyak cacat dan banyak bug, masa setiap buka peduli lindungi harus login akun ulang, belum lagi akses GPS nya ribet banget sudah dinyalakan tetap dibaca tidak ada GPS.",NEGATIF
Oke,POSITIF
Aplikasi error gx bisa dibuka. Makin gak jelas,NEGATIF
Bagus,POSITIF
habis update aplikasi kenapa logout ya?udah gitu mau login tidak bisa,NEGATIF
tolong nggak usah persulit masarakat beli minyak goreng aja pakai kartu vaksin padahal hidup ini simpel kalau boleh permudah lah masarakat nya,NEGATIF
Mntab,POSITIF
Oke...,POSITIF
Mantap,POSITIF
Kenapa setiap di perbarui pasti ilang data datanya 🔥,NEGATIF
Ok,POSITIF
"Apk ampas, ui ribet apalagi dibagian ngatur tgl lahir",NEGATIF
Vaksinasi. Boster sangat berguna utk diri pribadi anda,POSITIF
Bagus untuk cek covid,POSITIF
Bagus banget hebat juga,POSITIF
@rantingkencana,POSITIF
Mantab,POSITIF
"Apk jelek, semenjak di update checkin jd gagal terus, gara2 itu jd telat masuk 👍🤔🤔",NEGATIF
Sertifikat vaksin tidak mau muncul,NEGATIF
Bikin ribet aja,NEGATIF
Good👍,POSITIF
"GA BISA KLAIM SERTIFIKAT VAKSIN MULU UDAH 3 BULAN, ANEH!",NEGATIF
Aplikasi sampah.. Buat ajang bisnis luhut Nyusahin rakyat,NEGATIF
Sdh,POSITIF
Ngga manfaat,NEGATIF
Ok tks,POSITIF
Saya senang pelayang puskes desa Tambang Rambang,POSITIF
Ok,POSITIF
Sangat membantu... aplikasi mantabs,POSITIF
Bagus aja,POSITIF
Ok,POSITIF
"Yuk download,aplikasi ini sangat berguna bgt lho-!",POSITIF
Ok,POSITIF
Ok.,POSITIF
Ok,POSITIF
Semoga bisa jadi KTP vaksin dimana-mana tanpa harus ribet2 lagi.sudah vaksin tinggal boster saja sekarang ni bisa pakai peduli lindungi,POSITIF
"Ga jelas sumpah,di update malah makin ga aneh,mending yg versi lama",NEGATIF
Sangat berarti dan membantu,POSITIF
Sangat buruk,NEGATIF
"sering sekali tiba tiba log out, nama dalam sertifikat tiba2 hilang, repot kalo mau waktu mepet saat harus chek in ketika mau perjalanan dengan transportasi umum. karena harus log in dan menfulang semua proses dari awal. belum lagi kalo ngga berhasil.... sabar sabar.... kesempurnaan hanya milik Allah",NEGATIF
Baik,POSITIF
"Baik, sehat",POSITIF
Mantapp,POSITIF
"Kenapa nggak bisa update aplikasi pedulilindingi woy,gagal terus",NEGATIF
Ok,POSITIF
Bagus sekali dan bermanfaat,POSITIF
Bgus,POSITIF
mntap,POSITIF
"Syukur, Alhamdulillah. Sudah membaik",POSITIF
Oke siap,POSITIF
Update wae,NEGATIF
Asu ra update wes awake loro mergo kepekso vaksin,NEGATIF
Susah untuk download sertifikat vaksin booster sendiri.,NEGATIF
Tolong di bantu nya saat saya mau scan barcode,POSITIF
Sering eror aplikasiya,NEGATIF
Bagus,POSITIF
Susah ga ada guna nya tapi kita di tuntut untuk pakai bikin bingung,NEGATIF
Segara dikit2 update udah kayak majalah 🤣,NEGATIF
"Banyak minusnya,sampek susah utk komentar",NEGATIF
Apk kl kiranya pnting bgt jngn trllu rewel,NEGATIF
👍,POSITIF
Bagus,POSITIF
Cukup bagus dengan ada nya program ini,POSITIF
"Bikin mudahmasuk Mall dan tempat umum lainnya, juga saat butuh sertifikat vaksin mudah menunjukan",POSITIF
"Kenapa peduli lindungi saya tdk bs d buka lagi, kalo d buka keluar info aplikasi di tutup. Kenapa ya?????",NEGATIF
"Gak tau kenapa aplikasi peduli lindungi ini gak bisa di instal di ponsel ku. Pas sudah ke download pasti ada tulisan maaf tidak bisa melanjutkan. Tolong info dan cara mengatasinya, soalnya butuh bgt aplikasi ini",NEGATIF
Kereeeeeeeeen,POSITIF
Sangat baik,POSITIF
Parah masa gx bisa masuk gimana sih di perbarui malah gx bisa masuk...bukan malah makin baik malah tambah parah.,NEGATIF
Ok,POSITIF
Ok,POSITIF
Kaga jelas makin lama... hadeeeeww,NEGATIF
Ok,POSITIF
"Habis update per tanggal 11 Juli 2022, aplikasinya malah gak bisa dibuka. Ada error yang mengakibatkan aplikasi memaksa menutup dirinya sendiri. . . Developer mana developer? Coba segera dicari bug nya ada dimana biar aplikasi bisa digunakan dengan nyaman. .",NEGATIF
bagus apk nya,POSITIF
"Aplikasi error, ga bsa d buka.",NEGATIF
Sangat puas,POSITIF
sering error aplikasi nya,POSITIF
Sangat membantu sekali dalam urusan administrasi,POSITIF
Ok,POSITIF
I think it wortit,POSITIF
Gampang 2 susah,POSITIF
Siiiip,POSITIF
"Apk setruk, susah log in.",NEGATIF
Ribet,POSITIF
"Sangat bagus, semoga bisa lebih di tingkatkan",POSITIF
Bagus,POSITIF
"Sering error, aplikasi uni susah di buka sering bermasalah mengakibatkan perangkat hp saya sering rusak",NEGATIF
Mantap,POSITIF
Bagus,POSITIF
Tes dulu,POSITIF
Ok,POSITIF
Semakin oke,POSITIF
Good,POSITIF
ok,POSITIF
Kerennnn,POSITIF
Oke,POSITIF
gasuka aja,NEGATIF
Sangat baik sekali,POSITIF
bagus,POSITIF
Saya kasih bintang 1 dulu. Sudah download aplikasi ini Pada saat daftar untuk kode verifikasi tidak d kirim2 baik itu menggunakan email ataupun nomer telp sudah 2 hari ini gak bisa2 daftar 🤦‍♀️,POSITIF
Terimakasih pedulilindungi mantap,POSITIF
Bagus .. sangatlah membantu.,POSITIF
Sangat mendukung,POSITIF
Sangat berguna,POSITIF
"Aplikasi cacat, bukannya memudahkan malah menyusahkan. Chuakkkssss, besok² klo mau nyusahin gausah buat aplikasi lh anjirrr!!!!!!!",NEGATIF
Top,POSITIF
Semoga melalui aplikasi ini dapat memudahkan pelayanan publik bgi seluruh Masyarakat Sehingga keruwetan dalam mndapatkan pelayanan selalu di optimalisasikan,NEGATIF
Ribed,NEGATIF
Mantap,POSITIF
Mantap,POSITIF
Ok bermanfaat,POSITIF
"Hmmmm....jd begini. Aku kan udah update ya, terus mau masuk mall kan pake scan scan tuh. Ehhh...malah gak bisa. Kayak gak mau scan gitu dr aplikasinya. Padahal udah diupdate dan posisi kamera udah pas gps juga udh disetel. Tipe androidnya juga masih jauh dr batas ketentuan yg di aplikasinya. Jd tuh ya kagak bisa scan aplikasi pedulilindungi punyaku. Bingung heh. Sudah dua kali errornya.",POSITIF
Ok,POSITIF
"menyusahkan, sering trobel, jadi berlama2 di satpam",NEGATIF
Mantappp,POSITIF
Blm d coba,POSITIF
Mw tanya cara buka pedulilindungi ne nmr yg tercantum dama hpnya yg kemaren hilang,NEGATIF
Gak jelas,NEGATIF
Aplikasi apa ini gabisa di mainin,NEGATIF
Bad,NEGATIF
Erorr gak jelassssss jinggggg,NEGATIF
Ok,POSITIF
Baik & Bagus 👍,POSITIF
Dikit2 perbarui keuntungan laen gk ada .. cuman apl nmbah cuan dplpr aja 😠,NEGATIF
Good,POSITIF
Sangat mmbantu,POSITIF
Ok,POSITIF
Ribet,NEGATIF
"Tidak bisa dibuka, jadi merepotkan saat mau masuk ke Gedung yang harus menggunakan PeduliLindungi...",NEGATIF
uninstal,NEGATIF
Keseringan update,NEGATIF
"Setelah diupdate malah gak bisa dibuka, makin parah ni aplikasi",NEGATIF
Bagus,POSITIF
Diperbaharui malah susah buka,NEGATIF
Oke lah ya,POSITIF
"Belum akrab, tolong informasinys",NEGATIF
"Sampe sekarang ga ngerti manfaatnya aplikasi ini,. Alias ga berguna",NEGATIF
Kenapa aplikasi hilang tdk bs di download lg?,NEGATIF
Bisa d perlukan sewaktu waktu,NEGATIF
"Baik kak, udah download aplikasi peduli lindungi ok",POSITIF
Mantap,POSITIF
Bagus,POSITIF
Apus aje ga guna,NEGATIF
Aplikasi sangat buruk,NEGATIF
Kenapa tidak bisa di buka ya.....?mohon bantuannya dong.Terimakasih ya,POSITIF
Mau daftar gagal trus heran,NEGATIF
Terlalu ribet,NEGATIF
Mau beli minyak goreng aja wajib pakai ini . Ribet sekarang negri ini banyak aturan yg menyulitkan rakyat. Korupsi tuh dipersulit ruang lingkupnya,NEGATIF
"Ribet, susah,error mulu",NEGATIF
G bisa di bk gmn sih....mo buka aplksi keluar lgi....,NEGATIF
Gak guna,NEGATIF
bagus bangett,POSITIF
Sangat berguna.,POSITIF
Bagus,POSITIF
Bikin ribet,NEGATIF
Apkl banyak nyusahin,NEGATIF
Kurang kurangin ya ahli IT kalo mau memperbarui apliklasi mulu tapi manfaatnya minimal🙏🙏🙏🙏🙏🙏,NEGATIF
"biar apaan si biar apa biar mak lu bangga?, KAGAK SIAPA YANG BANGGAIN LU",NEGATIF
Loading,NEGATIF
Mantap,POSITIF
Aplikasi eror terus gak bisa masuk,NEGATIF
"Kenapa sesinya terlalu singkat,lewat sesi harus ulang besok.terlalu banyak error",NEGATIF
Sudah vaksin sampai booster tapi belum terinput dari vaksin 1,NEGATIF
Sering bgt update,NEGATIF
RIBETTTTTTTT,NEGATIF
"Aplikasi ccd, sertifikat vaksinnya kok gamuncul-_-",NEGATIF
Sangat membantu saya utk memasuki daerah yg ketat dgn covid19,POSITIF
Mantulllll...,POSITIF
Hanya 2 hari terakhir ini aplikasi tidak bisa digunakan mohon dibantu bagaimana solusinya. Terimakasih,POSITIF
Buat apa kasih kayak gini nyusahin rakyat kecil jika sudah vaksin ya sudah ngapain ad aplikasi kayak gini.ujung ujungnya nanti nyusahin rakyat kecil lagi🤣,NEGATIF
Sangat menyenangkan,POSITIF
Sangat membantu,POSITIF
Grafik nya jelek ngelag,NEGATIF
Mantabb...apl nya,POSITIF
App selalu forced closed dan tidak dapat digunakan,NEGATIF
Sangat bagus pedulilindungi,POSITIF
Napa g bisa di buka pelindungi. Malah balik semula,POSITIF
Ok,POSITIF
Biasa aja,NEGATIF
"Saat sy ingin scan perduli lindungi utk msk mall, trnyt aplikasi tdk bergerak sm sekali yg membuat sy hrs merestart hp sy. Stlh direstart, ketika sy memasukkan password hp sy, ternyata hp sy tdk bisa bergerak, pdhl seharusnya stlh memasukkan password lngsng muncul k home screen. Shg saat ini hp sy tdk bisa digunakan & sementara sy harus menggunakan hp Ibu sy. Sy menduga hal tsb terjadi akibat sy membuka apk perduli lindungi yg terlalu besar kapasitasnya. Jd mohon maaf sy hrs ksih rating rendah.",NEGATIF
Mantap,POSITIF
Gw emang sengaja kasih bintang 1 :(,NEGATIF
Gabisa login bodoh .,NEGATIF
Ok,POSITIF
Baik,POSITIF
Mantap,POSITIF
Kurang bagus aplikasi yg sekarang sulit untuk cek sertipikat vaksin tolong dibenahi lagi??,NEGATIF
Perbaiki lagi aplksnya soalnya jadi g bisa buka serifikat vaksin,NEGATIF
Gampang drop abis vaksin wkwkwkwk,NEGATIF
Bagus sekali,POSITIF
aplikasinya ga bisa masuk. trus tmpt vaksin nya ga akurat banyak yg kosong. disuruh wajib tapi malah banyak tmpt yg ga tersedia vaksin nya.,NEGATIF
Pokoknya top markotop,POSITIF
Ok,POSITIF
"Tolong ya di perbaiki, setiap mau check in selalu tiba2 keluar aplikasinya dan tidak bisa di gunakan.",NEGATIF
Semoga covid 19 uda berakhir,POSITIF
Josz,POSITIF
Tiap bulan mintakan di apdet gini kerja sa pemerintah dengan internet,POSITIF
aplikasi tak guna....,NEGATIF
Nyampah,NEGATIF
Mudah diakses,POSITIF
Coba dulu,POSITIF
Lanjutkan,POSITIF
"Aplikasi tiba2 tidak dapat dibuka, dan selalu muncul notifikasi aplikasi error",NEGATIF
Maaf masak daftar harus ad paspor dulu engak,NEGATIF
Ok,POSITIF
Bagus,POSITIF
Jelek bat,NEGATIF
Aman lancar praktis canggih,POSITIF
Cuma sering ada masalah untuk aplikasi saat ini,POSITIF
Sangat membantu,POSITIF
GOOD APP,POSITIF
Ok,NEGATIF
Ok,POSITIF
Setelah up grade aplikasi tidak bisa ngisi nomor telepon juga email.,NEGATIF
Jos,POSITIF
"Gimana ini saya sudah vaksin 1,2 dari 2021 tapi sampai saat ini belum ada sertifikatnya jadinya tandanya merah trus",NEGATIF
No comen 👎👎👎,NEGATIF
Lebih leluasa kemana saja,POSITIF
Sangat membantu,POSITIF
"Baagus,top markotop 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",POSITIF
aplikasi sampah,NEGATIF
Mantao,POSITIF
Bagus,POSITIF
Lemot,NEGATIF
Karena aplikasi ini perjalanan lancar,POSITIF
Aplikasi erorr gak jelas bgt ni apk,NEGATIF
Bagus👍👍👍,POSITIF
Muanteeep 👍👍👍,POSITIF
Embung asup wae lah kehedteh.. Hayohweh masukan 6 digit ai digitna teu di kirim2.. Dasar teu eucreug,POSITIF
Jos,POSITIF
"Sertifikat nya yg vaksin ke 3 belum ada aja, sedangkan sudah di vaksin ketiga itu 3 bulan yg lalu.",NEGATIF
Bagus,POSITIF
Lemot,NEGATIF
Bagus,POSITIF
Ribet,NEGATIF
👍,POSITIF
Aplikasi nyusahin woy tolong tmpt isi tgl lahir dibikin bisa milih bukan geser satu1 cape tekan aplagi tgl lahir 70 smpe ngelag apknya aku tekan truss rasanya pengen bnting ni hp gara2 apk gk guna nyusahin aj klu bukan gara2 sertifikat gk bkalan aku download ni apk,NEGATIF
Dibawah standard,NEGATIF
Ok,POSITIF
Bagus,POSITIF
Stop berbisnis dengan rakyat!,NEGATIF
Mantab,POSITIF
Lanjut ajang bisnis,NEGATIF
Terlalu berbelit belit pake captcha..masa salah captcha harus daftar besok,NEGATIF
Game jelek gk jelas cara namatinnya gmna,NEGATIF
bikin susah rakyat,NEGATIF
Ok,POSITIF
Good,POSITIF
Sangat terbantu,POSITIF
Mempermudah syarat administrasi,POSITIF
Sangat baik,POSITIF
Sangat baik,POSITIF
Bagus aplikasi pedulilindungi ini.....,POSITIF
Tolong di perbaiki,NEGATIF
Trafelinf,NEGATIF
Mulai kemarin kok tidak bisa di buka ya aplikasi peduli lindungi,POSITIF
Good job,POSITIF
Baik,POSITIF
Makin kesini bukannya tambah baik.. Ini kok kebalik.. Perfomanya makin jelek.. Padahal kemana-mana harus pake aplikasi ini. . Hm.,NEGATIF
"Halo kak, Sebelumnya kami ingin menyampaikan pujian sebaik baiknya kepada apk ini tapi apk ini belum sempurna jadi.... tolong untuk diberi update event baru di apk ini agar semakin menarik yaitu event balap jantung jadi yang detak jantung nya berhenti duluan itulah yang menang Anjay... Ide briliant",POSITIF
"Sudah vaksin ketiga booster namun tidak update datanya belum muncul, kemarin vaksin booster sinopharm tanggal 8Juli2022",NEGATIF
Loading cepat,POSITIF
👍,POSITIF
ok,POSITIF
"Mohon diperbaiki lg, login lewat email ga bisa",NEGATIF
Good,POSITIF
Selama ini baik,POSITIF
Plise di perbaikin 🙏,NEGATIF
"Stiap update, pasti data ter reset. Tolong perbaiki",POSITIF
Apk ajig gak guna nyusahin orang aja hapus aja lah nyusahin rakyat,NEGATIF
Sangat bermanfaat aplikasinya.,POSITIF
Ribet...!!!,NEGATIF
Saya sudah vaksin lengkap 2 kali tetapi sertifikat vaksin ke 2 saya tidak muncul,NEGATIF
Tidak pantas,NEGATIF
"Lemot banget apekanya, liat sertifikat ga kebuka""",NEGATIF
Keseringan update terus q gak suka,NEGATIF
"Buat saya, lebih membantu. Asal paham aja.",POSITIF
Apk pemerintah sangan membingung kn Bukan mlah untuk mempermudah malah bikin susah Saya mau cari sertifikat gk muncul muncul,NEGATIF
Mantap,POSITIF
ok,POSITIF
Bagus,POSITIF
Saya suka,POSITIF
Bagus,POSITIF
Sungguh puas,POSITIF
Almar Rajendra Khansa,POSITIF
Bagus,POSITIF
Good,POSITIF
Aplikasi tidak berguna hanya menyusahkan kita,NEGATIF
Aplikasi peduli lindungi bener bener penyelamat disaat darurat,POSITIF
apk ini toda bisa berpungsi,NEGATIF
tidak bisa saya dondlon,POSITIF
Mantap,POSITIF
Semoga bermanfaat,POSITIF
bagus,POSITIF
Berkualitas bagus ok bgt.,POSITIF
"aplikasi lemot,ngga jelas cuma hanya karna mengikuti peraturan pemerintah tp aplikaisnya aja ga mendukung,suka eror lambat ga update,mau klaim aja mesti berulang2",NEGATIF
Ok,POSITIF
Good,POSITIF
Lambat,NEGATIF
Jos,POSITIF
Yes on,POSITIF
Oke,POSITIF
Siiip,POSITIF
Sangat membantu,POSITIF
"Aplikasinya sring error gak jelas, tlong diperbaiki",NEGATIF
Bagus,POSITIF
Sip sip,POSITIF
Keren,POSITIF
Aplikasi peduli lindungi di hape saya setiap mau di buka keluar lagi,NEGATIF
"Setting tanggal lahir sulit,ganti no hp sulit",NEGATIF
Bagus,POSITIF
Aplikasi tidak bisa di buka padahal sebelumnya bisa,POSITIF
Sangat bagus,POSITIF
👍,POSITIF
aplikasi nya gk bisa di buka semenjak di update berhenti trus menerus,NEGATIF
Aplikasi yg membantu sekali,POSITIF
Baik,POSITIF
Oke trims,POSITIF
Aplikasi sering crash amatiran bilangin ke pemerograman kerja yg benar,NEGATIF
Di perbaiki lagi dong tolong soalnya mau buka apknya malah crash terus,NEGATIF
Usaha dagang,POSITIF
baik dan lancar selama sy gunakan utk masuk kelokasi yg menggunakan aplikasi ini,POSITIF
Aplikasi sering berhenti / tidapat dibuka Terima kasih,POSITIF
"Sya minta tolong sama bapak dn ibu dari Peduli Lindungi di perbaik'in Aplikasi ny,soalny sya tidak bisa membuka Aplikasi dari Peduli Lindungi.Apalagi kita mau kemana susah tdk bs di buka Aplikasi Lindungi ny",NEGATIF
Sangat membsntu,POSITIF
Kg,NEGATIF
Mantap,POSITIF
demo virtual 🔥,NEGATIF
"No komen karena nge lag terus,dan out sendiri",NEGATIF
Sangat membantu,POSITIF
Aproval lama sekali,NEGATIF
Asu,NEGATIF
bagus,NEGATIF
Apk yg bagus,POSITIF
"Perbarui terus2an, ga bagus",NEGATIF
update mulu,NEGATIF
Susah mencari serifikat vacsine,NEGATIF
Mantap,POSITIF
Mari sukseskan program negara berbasis,POSITIF
"error lokasi buatan, padahal lokasi sudah sesuai",POSITIF
Sangat bermanfaat,POSITIF
Aplikasinya bagus,POSITIF
"Kenapa untuk memasukkan bukti vaksinasi dari luarnegri tidak bisa,dipencet2 jg tidak bisa sama sekali tidak ada respon tolong diperbaiki dong bugnya",NEGATIF
"""Data Tidak Terdeteksi / kesalahan"" Padahal Saya Sudah Masukan Data Saya Dengan Baik dan benar Tetapi error Terus, Mau Daftar Tidak Bisa, Mau Cetak Kartu Pun Data error Mulu, Tolong Di Fix Bug nya 🙏",NEGATIF
Kok sekarang peduli lindungi tidak bisa mengunduh sertifikat vaksin sedangkan kalo ingin vaksin ke 2 harus menyertakan bukti sudah pernah vaksin 1,POSITIF
"Ampas udh vaksin, statusnya kok masih merah... Itu udh dari tahun lalu kgk diurusin pdhal udh dikomplen.",NEGATIF
"Bagus, demi keselamatan dan kesehatan bersama, mengapa aplikasi ini tidak bisa dishare lewat playstore",POSITIF
aplikasi syaa ga bisa ke buka,NEGATIF
Gajelas apk ny gue dah vaksin ga terdaftar pdhal dh dri 2021 gue input nik ga terdaftar,NEGATIF
Aplikasi tidak berfungsi,NEGATIF
"Dikit2 update, auto uninstall kl bgni, bikin penuh memory",NEGATIF
Gak berguna,NEGATIF
Sertifikat ngacak,NEGATIF
Baik,POSITIF
Game burik,NEGATIF
buruk,NEGATIF
Sangat bagus dan membantu banget makasih peduliLindungi👍👍👍,POSITIF
Jelek,NEGATIF
Baagus dan akùrat,POSITIF
"kasi bintang 1 dulu soalnya kode otp untuk ""PENDAFTARAN VAKSIN"" tidak ada masuk2 di sms. Sudah berulang-ulang kali coba dan saya juga cek no hp saya tidak ada kesalahan dan di email juga tidak ada. Dan pada bagian profil tidak bisa memasukkan no hp. MOHON DIPERBAIKI, saya ingin mendaftar vaksin dan butuh sertifikatnya segera. Kalau daftar susah seperti ini, bagaimana saya busa segera vaksin dan dapat sertifikat. MOHON SEGERA RESPON. (REVISI : Sudah baik utk sekarang)",POSITIF
Sangat baik,POSITIF
